drug,reaction,report_count,ROR,CI_lower,CI_upper,drug_reaction
OXYTROL FOR WOMEN,PRODUCT ADHESION ISSUE,16,1630.68,214.12,12418.57,OXYTROL FOR WOMEN + PRODUCT ADHESION ISSUE
CISPLATIN,HAEMATOTOXICITY,4,1595.2,172.18,14779.15,CISPLATIN + HAEMATOTOXICITY
OXYCODONE HCL,DRUG DIVERSION,5,1558.91,281.5,8633.01,OXYCODONE HCL + DRUG DIVERSION
PREVISCAN,INTERNATIONAL NORMALISED RATIO INCREASED,3,1497.75,225.45,9950.33,PREVISCAN + INTERNATIONAL NORMALISED RATIO INCREASED
AUBAGIO,SKIN BURNING SENSATION,3,1496.4,149.23,15005.3,AUBAGIO + SKIN BURNING SENSATION
RISPERIDONE,BIPOLAR I DISORDER,3,1496.4,149.23,15005.3,RISPERIDONE + BIPOLAR I DISORDER
CYCLIZINE,RASH GENERALISED,3,1496.4,149.23,15005.3,CYCLIZINE + RASH GENERALISED
RIBAVIRIN.,HEPATITIS C,3,1426.71,244.58,8322.52,RIBAVIRIN. + HEPATITIS C
METFORMIN HYDROCHLORIDE.,MATERNAL EXPOSURE DURING PREGNANCY,8,1423.14,289.26,7001.76,METFORMIN HYDROCHLORIDE. + MATERNAL EXPOSURE DURING PREGNANCY
METFORMIN HYDROCHLORIDE.,ABORTION,4,1331.33,285.62,6205.63,METFORMIN HYDROCHLORIDE. + ABORTION
AMIODARONE,PULMONARY TOXICITY,3,1300.83,130.43,12973.39,AMIODARONE + PULMONARY TOXICITY
PRINIVIL,RECTAL HAEMORRHAGE,3,1300.83,130.43,12973.39,PRINIVIL + RECTAL HAEMORRHAGE
AZACITIDINE,ACUTE GRAFT VERSUS HOST DISEASE,3,1248.38,228.62,6816.63,AZACITIDINE + ACUTE GRAFT VERSUS HOST DISEASE
DONEPEZIL,INCONTINENCE,3,1248.38,228.62,6816.63,DONEPEZIL + INCONTINENCE
SUBOXONE FILM,INTENTIONAL UNDERDOSE,3,1248.38,228.62,6816.63,SUBOXONE FILM + INTENTIONAL UNDERDOSE
