drug,reaction,report_count,ROR,CI_lower,CI_upper,drug_reaction
EXEMESTANE (UNKNOWN),NEOPLASM PROGRESSION,4,241.41,62.05,939.15,EXEMESTANE (UNKNOWN) + NEOPLASM PROGRESSION
PRAMIPEXOLE,HEART RATE INCREASED,8,236.6,82.52,678.33,PRAMIPEXOLE + HEART RATE INCREASED
PREDNISONE,LISTERIOSIS,3,231.28,23.9,2238.48,PREDNISONE + LISTERIOSIS
DOMPERIDONE,TREMOR,8,229.98,73.39,720.67,DOMPERIDONE + TREMOR
REVLIMID,PLASMA CELL MYELOMA,8,229.98,73.39,720.67,REVLIMID + PLASMA CELL MYELOMA
NEXPLANON,DEVICE BREAKAGE,6,226.34,77.45,661.43,NEXPLANON + DEVICE BREAKAGE
AVANDIA,CARDIAC FAILURE CONGESTIVE,7,226.23,81.77,625.9,AVANDIA + CARDIAC FAILURE CONGESTIVE
CYCLOPHOSPHAMIDE (UNKNOWN),MALIGNANT NEOPLASM PROGRESSION,3,222.27,36.55,1351.77,CYCLOPHOSPHAMIDE (UNKNOWN) + MALIGNANT NEOPLASM PROGRESSION
DIANEAL LOW CALCIUM,PERITONEAL DIALYSIS COMPLICATION,12,220.38,61.65,787.76,DIANEAL LOW CALCIUM + PERITONEAL DIALYSIS COMPLICATION
TAMOXIFEN (UNKNOWN),NEOPLASM PROGRESSION,12,216.89,96.92,485.36,TAMOXIFEN (UNKNOWN) + NEOPLASM PROGRESSION
PLAVIX,LOSS OF EMPLOYMENT,3,215.78,35.5,1311.72,PLAVIX + LOSS OF EMPLOYMENT
FINASTERIDE,TRANSAMINASES INCREASED,3,213.71,53.09,860.28,FINASTERIDE + TRANSAMINASES INCREASED
PICATO,APPLICATION SITE ERYTHEMA,15,211.86,100.07,448.5,PICATO + APPLICATION SITE ERYTHEMA
AROMASIN,BREAST CANCER,6,210.57,51.89,854.55,AROMASIN + BREAST CANCER
PROCHLORPERAZINE,RENAL IMPAIRMENT,3,207.73,50.96,846.76,PROCHLORPERAZINE + RENAL IMPAIRMENT
SERTRALINE,MAJOR DEPRESSION,3,207.44,44.81,960.22,SERTRALINE + MAJOR DEPRESSION
SOBRIL,WEIGHT INCREASED,3,206.71,21.37,1999.25,SOBRIL + WEIGHT INCREASED
LITHIONIT,WEIGHT INCREASED,3,206.71,21.37,1999.25,LITHIONIT + WEIGHT INCREASED
TAXOTERE,FEBRILE NEUTROPENIA,5,205.83,66.03,641.58,TAXOTERE + FEBRILE NEUTROPENIA
LITHIONIT,ABDOMINAL PAIN,3,203.81,21.07,1971.11,LITHIONIT + ABDOMINAL PAIN
SOBRIL,ABDOMINAL PAIN,3,203.81,21.07,1971.11,SOBRIL + ABDOMINAL PAIN
"PICATO (INGENOL MEBUTATE) (0.015 %, GEL)",APPLICATION SITE ERYTHEMA,3,202.96,39.97,1030.47,"PICATO (INGENOL MEBUTATE) (0.015 %, GEL) + APPLICATION SITE ERYTHEMA"
MIRENA,DEVICE ISSUE,6,201.97,59.98,680.09,MIRENA + DEVICE ISSUE
NEULASTA,INVESTIGATION,35,201.09,116.76,346.32,NEULASTA + INVESTIGATION
PROPECIA,DEPRESSION,4,199.9,36.19,1104.04,PROPECIA + DEPRESSION
MIRENA,EMOTIONAL DISTRESS,18,199.87,98.71,404.72,MIRENA + EMOTIONAL DISTRESS
METHOTREXATE,FOOT DEFORMITY,4,195.9,35.48,1081.71,METHOTREXATE + FOOT DEFORMITY
PICATO GEL,INCORRECT DRUG ADMINISTRATION DURATION,6,195.12,65.83,578.31,PICATO GEL + INCORRECT DRUG ADMINISTRATION DURATION
DAFALGAN,THROMBOCYTOPENIA,3,194.96,38.44,988.92,DAFALGAN + THROMBOCYTOPENIA
PLAVIX,ANHEDONIA,4,194.61,42.74,886.11,PLAVIX + ANHEDONIA
JANUVIA,PANCREATIC CARCINOMA,7,193.41,69.76,536.28,JANUVIA + PANCREATIC CARCINOMA
PICATO,PRODUCT PACKAGING QUANTITY ISSUE,3,192.79,44.14,842.0,PICATO + PRODUCT PACKAGING QUANTITY ISSUE
PICATO GEL,APPLICATION SITE VESICLES,3,191.77,48.38,760.1,PICATO GEL + APPLICATION SITE VESICLES
CHAMPIX,MYALGIA,5,191.12,53.71,680.0,CHAMPIX + MYALGIA
EXEMESTANE (UNKNOWN),MALIGNANT NEOPLASM PROGRESSION,5,190.88,50.12,726.99,EXEMESTANE (UNKNOWN) + MALIGNANT NEOPLASM PROGRESSION
SERTRALINE,SEDATION,4,189.62,51.27,701.34,SERTRALINE + SEDATION
CYCLIZINE,RASH,3,188.01,19.45,1817.42,CYCLIZINE + RASH
VENLAFAXINE,DRUG WITHDRAWAL SYNDROME,3,185.72,45.2,763.04,VENLAFAXINE + DRUG WITHDRAWAL SYNDROME
CYCLOPHOSPHAMIDE,CHRONIC GRAFT VERSUS HOST DISEASE,4,185.08,48.05,712.86,CYCLOPHOSPHAMIDE + CHRONIC GRAFT VERSUS HOST DISEASE
SOLIRIS,MYELODYSPLASTIC SYNDROME,3,181.07,41.57,788.8,SOLIRIS + MYELODYSPLASTIC SYNDROME
ETOPOSIDE,DISEASE PROGRESSION,14,180.96,81.54,401.58,ETOPOSIDE + DISEASE PROGRESSION
YASMIN,PULMONARY EMBOLISM,14,180.87,83.64,391.15,YASMIN + PULMONARY EMBOLISM
PARAGARD 380A,DEVICE BREAKAGE,7,178.48,64.63,492.89,PARAGARD 380A + DEVICE BREAKAGE
NORVIR,FOETAL EXPOSURE DURING PREGNANCY,3,170.69,39.27,741.9,NORVIR + FOETAL EXPOSURE DURING PREGNANCY
MIRENA,INJURY,21,168.87,89.17,319.81,MIRENA + INJURY
COZAAR,DYSPHAGIA,3,166.15,42.2,654.24,COZAAR + DYSPHAGIA
AVANDIA,MYOCARDIAL INFARCTION,8,165.57,62.64,437.63,AVANDIA + MYOCARDIAL INFARCTION
MIRENA,AMENORRHOEA,5,165.5,46.7,586.57,MIRENA + AMENORRHOEA
PRAMIPEXOLE,TREMOR,8,164.24,57.95,465.44,PRAMIPEXOLE + TREMOR
EYELEA,DEATH,5,162.68,18.95,1396.85,EYELEA + DEATH
ATORVASTATIN CALCIUM.,GLUCOSE TOLERANCE IMPAIRED,3,160.65,38.44,671.34,ATORVASTATIN CALCIUM. + GLUCOSE TOLERANCE IMPAIRED
LEVETIRACETAM,RESPIRATORY FAILURE,4,158.08,45.98,543.45,LEVETIRACETAM + RESPIRATORY FAILURE
AMLODIPINE,HYPOMAGNESAEMIA,5,156.94,37.03,665.2,AMLODIPINE + HYPOMAGNESAEMIA
FLUOXETINE,HAEMATURIA,5,155.61,52.01,465.54,FLUOXETINE + HAEMATURIA
PACLITAXEL (UNKNOWN),BREAST CANCER,3,153.06,25.29,926.31,PACLITAXEL (UNKNOWN) + BREAST CANCER
PEGASYS,HEPATITIS C,3,152.48,37.51,619.86,PEGASYS + HEPATITIS C
YASMIN,INJURY,11,151.32,67.45,339.48,YASMIN + INJURY
QUETIAPINE,AGITATION,4,150.92,44.89,507.37,QUETIAPINE + AGITATION
MIRENA,DEVICE DISLOCATION,12,149.74,66.9,335.14,MIRENA + DEVICE DISLOCATION
PROCHLORPERAZINE,LETHARGY,3,149.46,37.46,596.32,PROCHLORPERAZINE + LETHARGY
ADVAIR,DISABILITY,3,149.15,32.54,683.66,ADVAIR + DISABILITY
DRONEDARONE,GASTROINTESTINAL HAEMORRHAGE,20,147.41,78.07,278.33,DRONEDARONE + GASTROINTESTINAL HAEMORRHAGE
VALPROIC ACID,RESPIRATORY FAILURE,3,147.21,36.27,597.42,VALPROIC ACID + RESPIRATORY FAILURE
PICATO GEL,APPLICATION SITE ERYTHEMA,6,144.04,49.27,421.14,PICATO GEL + APPLICATION SITE ERYTHEMA
PLAVIX,TENSION,3,143.84,28.53,725.21,PLAVIX + TENSION
PLAVIX,DEFORMITY,3,143.84,28.53,725.21,PLAVIX + DEFORMITY
YASMIN,GENERAL PHYSICAL HEALTH DETERIORATION,11,143.72,64.26,321.43,YASMIN + GENERAL PHYSICAL HEALTH DETERIORATION
GILENYA,CENTRAL NERVOUS SYSTEM LESION,6,143.5,51.35,401.02,GILENYA + CENTRAL NERVOUS SYSTEM LESION
IMPLANON,INCORRECT DRUG ADMINISTRATION DURATION,5,142.14,46.21,437.25,IMPLANON + INCORRECT DRUG ADMINISTRATION DURATION
CHAMPIX,URINARY TRACT INFECTION,5,139.7,39.57,493.21,CHAMPIX + URINARY TRACT INFECTION
FOLIC ACID,HYPOMAGNESAEMIA,5,139.46,32.95,590.31,FOLIC ACID + HYPOMAGNESAEMIA
TECFIDERA,COORDINATION ABNORMAL,3,138.45,14.34,1336.53,TECFIDERA + COORDINATION ABNORMAL
CYCLIZINE,VOMITING,3,138.45,14.34,1336.53,CYCLIZINE + VOMITING
PEGASYS,PANCYTOPENIA,8,138.35,56.52,338.64,PEGASYS + PANCYTOPENIA
OXYTROL FOR WOMEN,APPLICATION SITE IRRITATION,3,134.8,22.3,814.71,OXYTROL FOR WOMEN + APPLICATION SITE IRRITATION
CARBAMAZEPINE,DRUG-INDUCED LIVER INJURY,3,133.49,34.96,509.76,CARBAMAZEPINE + DRUG-INDUCED LIVER INJURY
DABIGATRAN,GASTROINTESTINAL HAEMORRHAGE,22,132.76,72.58,242.87,DABIGATRAN + GASTROINTESTINAL HAEMORRHAGE
DIPHENHYDRAMINE,DISEASE PROGRESSION,14,130.63,62.08,274.84,DIPHENHYDRAMINE + DISEASE PROGRESSION
ARIMIDEX,BREAST CANCER,5,130.21,34.43,492.45,ARIMIDEX + BREAST CANCER
STELARA,PSORIASIS,3,127.77,33.53,486.91,STELARA + PSORIASIS
METFORMIN,LACTIC ACIDOSIS,6,127.68,35.56,458.46,METFORMIN + LACTIC ACIDOSIS
NUVARING,DEVICE EXPULSION,4,127.68,38.84,419.74,NUVARING + DEVICE EXPULSION
MOTRIN,UTERINE PERFORATION,3,125.62,33.07,477.2,MOTRIN + UTERINE PERFORATION
YASMIN,EMOTIONAL DISTRESS,8,124.65,51.32,302.79,YASMIN + EMOTIONAL DISTRESS
BENDAMUSTINE,PANCYTOPENIA,3,124.49,31.49,492.1,BENDAMUSTINE + PANCYTOPENIA
ENBREL,INJECTION SITE PRURITUS,3,123.92,24.64,623.32,ENBREL + INJECTION SITE PRURITUS
FLUOROURACIL,PNEUMONITIS,3,123.52,32.23,473.35,FLUOROURACIL + PNEUMONITIS
PERINDOPRIL,CHEST PAIN,3,123.44,20.44,745.45,PERINDOPRIL + CHEST PAIN
SEROQUEL,DYSKINESIA,4,122.56,37.38,401.83,SEROQUEL + DYSKINESIA
ISENTRESS,FOETAL EXPOSURE DURING PREGNANCY,3,121.9,30.28,490.7,ISENTRESS + FOETAL EXPOSURE DURING PREGNANCY
OXYTROL FOR WOMEN,APPLICATION SITE RASH,4,120.91,26.74,546.66,OXYTROL FOR WOMEN + APPLICATION SITE RASH
CLOZARIL,NEUTROPHIL COUNT DECREASED,3,120.46,30.52,475.46,CLOZARIL + NEUTROPHIL COUNT DECREASED
VITAMIN B12,CHOLELITHIASIS,3,120.46,30.52,475.46,VITAMIN B12 + CHOLELITHIASIS
SANDOSTATIN LAR DEPOT,BLOOD PRESSURE INCREASED,4,120.42,33.06,438.63,SANDOSTATIN LAR DEPOT + BLOOD PRESSURE INCREASED
ARIMIDEX,MALIGNANT NEOPLASM PROGRESSION,4,120.3,31.6,458.02,ARIMIDEX + MALIGNANT NEOPLASM PROGRESSION
CITALOPRAM,INCONTINENCE,3,120.13,26.34,547.99,CITALOPRAM + INCONTINENCE
CITALOPRAM,MAJOR DEPRESSION,3,120.13,26.34,547.99,CITALOPRAM + MAJOR DEPRESSION
MIRENA,ABDOMINAL PAIN LOWER,7,119.78,44.08,325.54,MIRENA + ABDOMINAL PAIN LOWER
CODEINE SULFATE,DRUG HYPERSENSITIVITY,8,119.71,40.85,350.77,CODEINE SULFATE + DRUG HYPERSENSITIVITY
EVEROLIMUS,DYSGEUSIA,4,119.52,35.24,405.34,EVEROLIMUS + DYSGEUSIA
DABIGATRAN,RECTAL HAEMORRHAGE,10,116.99,50.76,269.63,DABIGATRAN + RECTAL HAEMORRHAGE
DEPAKOTE,HYPERAMMONAEMIA,3,116.55,19.31,703.52,DEPAKOTE + HYPERAMMONAEMIA
PROVIGIL,WEIGHT DECREASED,3,116.55,19.31,703.52,PROVIGIL + WEIGHT DECREASED
ATRIPLA,WEIGHT DECREASED,3,116.55,19.31,703.52,ATRIPLA + WEIGHT DECREASED
HERCEPTIN,FEBRILE NEUTROPENIA,4,115.46,35.6,374.38,HERCEPTIN + FEBRILE NEUTROPENIA
SEROQUEL,SOPOR,3,114.93,29.9,441.77,SEROQUEL + SOPOR
FEXOFENADINE,PRURITUS,3,113.83,18.86,686.94,FEXOFENADINE + PRURITUS
JAKAFI,PLATELET COUNT INCREASED,16,110.17,14.6,831.46,JAKAFI + PLATELET COUNT INCREASED
PARAGARD 380A,DEVICE DISLOCATION,8,110.08,45.42,266.83,PARAGARD 380A + DEVICE DISLOCATION
CLARITIN CHEWABLE TABLETS,ACCIDENTAL EXPOSURE TO PRODUCT BY CHILD,8,108.71,39.93,295.96,CLARITIN CHEWABLE TABLETS + ACCIDENTAL EXPOSURE TO PRODUCT BY CHILD
LAMICTAL,CRYING,3,108.67,28.58,413.17,LAMICTAL + CRYING
MIRENA,DEVICE DIFFICULT TO USE,4,108.51,29.87,394.2,MIRENA + DEVICE DIFFICULT TO USE
CITALOPRAM,SEDATION,4,108.51,29.87,394.2,CITALOPRAM + SEDATION
CLOZARIL,LOWER RESPIRATORY TRACT INFECTION,3,107.06,27.66,414.4,CLOZARIL + LOWER RESPIRATORY TRACT INFECTION
JANUMET,PANCREATIC CARCINOMA,3,106.75,28.46,400.35,JANUMET + PANCREATIC CARCINOMA
AUBAGIO,ACNE,3,106.75,28.46,400.35,AUBAGIO + ACNE
AMOXICILLIN,TRANSAMINASES INCREASED,3,106.7,27.87,408.52,AMOXICILLIN + TRANSAMINASES INCREASED
AUBAGIO,ALOPECIA,9,104.5,43.59,250.54,AUBAGIO + ALOPECIA
CISPLATIN,PNEUMONITIS,3,104.48,27.54,396.36,CISPLATIN + PNEUMONITIS
PICATO GEL,DRUG ADMINISTERED AT INAPPROPRIATE SITE,3,103.76,27.52,391.18,PICATO GEL + DRUG ADMINISTERED AT INAPPROPRIATE SITE
COZAAR,NIGHT SWEATS,3,103.01,26.95,393.7,COZAAR + NIGHT SWEATS
DIANEAL LOW CALCIUM,PROCEDURAL PAIN,13,102.86,40.55,260.9,DIANEAL LOW CALCIUM + PROCEDURAL PAIN
CODEINE,DRUG HYPERSENSITIVITY,11,101.49,42.21,244.02,CODEINE + DRUG HYPERSENSITIVITY
PICATO,DRUG ADMINISTERED AT INAPPROPRIATE SITE,6,101.48,38.08,270.44,PICATO + DRUG ADMINISTERED AT INAPPROPRIATE SITE
KEPPRA,SEIZURE,3,100.86,25.74,395.21,KEPPRA + SEIZURE
TAXOTERE,NEOPLASM PROGRESSION,4,100.52,30.82,327.8,TAXOTERE + NEOPLASM PROGRESSION
DRONEDARONE,RECTAL HAEMORRHAGE,8,100.3,41.44,242.77,DRONEDARONE + RECTAL HAEMORRHAGE
PROPECIA,BACK PAIN,3,99.95,19.93,501.3,PROPECIA + BACK PAIN
LOVASTATIN.,TYPE 2 DIABETES MELLITUS,5,99.54,11.61,853.71,LOVASTATIN. + TYPE 2 DIABETES MELLITUS
MIRTAZAPINE,AGGRESSION,3,98.31,26.45,365.34,MIRTAZAPINE + AGGRESSION
CETIRIZINE 10 MG,NO ADVERSE EVENT,15,97.96,49.94,192.17,CETIRIZINE 10 MG + NO ADVERSE EVENT
METHOTREXATE,HYPOMAGNESAEMIA,4,97.93,24.16,397.02,METHOTREXATE + HYPOMAGNESAEMIA
BENDROFLUMETHIAZIDE,DYSGEUSIA,4,97.77,29.77,321.07,BENDROFLUMETHIAZIDE + DYSGEUSIA
IMATINIB,DRUG INEFFECTIVE,5,97.4,11.36,835.31,IMATINIB + DRUG INEFFECTIVE
WELLBUTRIN,APHASIA,3,97.02,26.04,361.48,WELLBUTRIN + APHASIA
MIRENA,EMBEDDED DEVICE,3,96.1,22.47,410.9,MIRENA + EMBEDDED DEVICE
MIRENA,PELVIC PAIN,3,96.1,22.47,410.9,MIRENA + PELVIC PAIN
SUBOXONE,ACCIDENTAL EXPOSURE TO PRODUCT BY CHILD,3,95.77,25.64,357.7,SUBOXONE + ACCIDENTAL EXPOSURE TO PRODUCT BY CHILD
LANSOPRAZOLE,HAEMATURIA,5,95.66,33.38,274.16,LANSOPRAZOLE + HAEMATURIA
YAZ,INJURY,13,94.2,46.33,191.55,YAZ + INJURY
VELCADE,GASTROINTESTINAL DISORDER,4,93.68,29.43,298.18,VELCADE + GASTROINTESTINAL DISORDER
TECFIDERA,INTENTIONAL UNDERDOSE,6,93.61,23.25,376.83,TECFIDERA + INTENTIONAL UNDERDOSE
EVEROLIMUS,PLEURAL EFFUSION,3,93.33,24.53,355.03,EVEROLIMUS + PLEURAL EFFUSION
PARAGARD 380A,VAGINAL HAEMORRHAGE,5,93.26,31.79,273.53,PARAGARD 380A + VAGINAL HAEMORRHAGE
XARELTO,HAEMORRHAGE INTRACRANIAL,3,92.93,20.47,421.98,XARELTO + HAEMORRHAGE INTRACRANIAL
XELODA,BREAST CANCER,20,91.42,49.24,169.71,XELODA + BREAST CANCER
HUMIRA,PSORIASIS,8,90.6,33.39,245.78,HUMIRA + PSORIASIS
BACLOFEN INTRATHECAL,FALL,3,90.48,15.02,545.13,BACLOFEN INTRATHECAL + FALL
CYMBALTA,SOPOR,4,90.14,26.86,302.53,CYMBALTA + SOPOR
ZITHROMAX,DRUG HYPERSENSITIVITY,8,89.76,33.09,243.48,ZITHROMAX + DRUG HYPERSENSITIVITY
IPRATROPIUM,PYREXIA,3,89.36,14.83,538.37,IPRATROPIUM + PYREXIA
PERINDOPRIL,PYREXIA,3,89.36,14.83,538.37,PERINDOPRIL + PYREXIA
YAZ,GENERAL PHYSICAL HEALTH DETERIORATION,13,89.23,44.05,180.72,YAZ + GENERAL PHYSICAL HEALTH DETERIORATION
METRONIDAZOLE,MATERNAL EXPOSURE DURING PREGNANCY,4,88.84,27.73,284.57,METRONIDAZOLE + MATERNAL EXPOSURE DURING PREGNANCY
TECFIDERA,FLUSHING,55,88.17,56.67,137.18,TECFIDERA + FLUSHING
DRONEDARONE,MELAENA,5,88.09,29.86,259.88,DRONEDARONE + MELAENA
HUMIRA,CROHN^S DISEASE,4,87.42,21.6,353.92,HUMIRA + CROHN^S DISEASE
AMPYRA,MULTIPLE SCLEROSIS,3,87.37,23.75,321.39,AMPYRA + MULTIPLE SCLEROSIS
EXEMESTANE,DYSGEUSIA,3,87.28,22.74,334.98,EXEMESTANE + DYSGEUSIA
ACETAMINOPHEN,DISEASE PROGRESSION,14,87.01,43.45,174.23,ACETAMINOPHEN + DISEASE PROGRESSION
OXYTROL FOR WOMEN,APPLICATION SITE ERYTHEMA,23,86.87,48.38,155.98,OXYTROL FOR WOMEN + APPLICATION SITE ERYTHEMA
BISOPROLOL,HAEMATURIA,5,85.74,30.14,243.94,BISOPROLOL + HAEMATURIA
XELODA,MALIGNANT NEOPLASM PROGRESSION,15,84.36,43.25,164.55,XELODA + MALIGNANT NEOPLASM PROGRESSION
JAKAFI,BLOOD COUNT ABNORMAL,59,84.07,33.67,209.87,JAKAFI + BLOOD COUNT ABNORMAL
DEXAMETHASONE,PLASMA CELL MYELOMA,4,83.3,24.88,278.9,DEXAMETHASONE + PLASMA CELL MYELOMA
VALIUM,PANCREATITIS,3,82.99,22.65,304.1,VALIUM + PANCREATITIS
PRADAXA,LOWER GASTROINTESTINAL HAEMORRHAGE,3,82.76,20.23,338.63,PRADAXA + LOWER GASTROINTESTINAL HAEMORRHAGE
CLOZARIL,WHITE BLOOD CELL COUNT INCREASED,8,82.57,35.09,194.28,CLOZARIL + WHITE BLOOD CELL COUNT INCREASED
RITUXIMAB,DISEASE PROGRESSION,15,82.56,42.32,161.07,RITUXIMAB + DISEASE PROGRESSION
ATENOLOL.,ARTHRALGIA,4,82.27,20.34,332.8,ATENOLOL. + ARTHRALGIA
SEROQUEL,INTENTIONAL OVERDOSE,3,82.06,22.25,302.63,SEROQUEL + INTENTIONAL OVERDOSE
MIRENA,MENORRHAGIA,4,81.37,23.87,277.37,MIRENA + MENORRHAGIA
DRONEDARONE,HAEMATOCHEZIA,5,81.3,27.87,237.14,DRONEDARONE + HAEMATOCHEZIA
METFORMIN HYDROCHLORIDE,DRUG INTERACTION,4,80.9,20.0,327.21,METFORMIN HYDROCHLORIDE + DRUG INTERACTION
WARFARIN SODIUM,DRUG INTERACTION,4,80.9,20.0,327.21,WARFARIN SODIUM + DRUG INTERACTION
PICATO,APPLICATION SITE PRURITUS,3,80.27,21.59,298.52,PICATO + APPLICATION SITE PRURITUS
ZOLPIDEM,HAEMATOCRIT DECREASED,3,79.88,21.84,292.14,ZOLPIDEM + HAEMATOCRIT DECREASED
AMLODIPINE BESYLATE.,TYPE 2 DIABETES MELLITUS,4,79.47,8.86,712.37,AMLODIPINE BESYLATE. + TYPE 2 DIABETES MELLITUS
BETAFERON,INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION,3,79.32,20.41,308.3,BETAFERON + INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION
NEXPLANON,MEDICAL DEVICE COMPLICATION,3,79.02,21.47,290.78,NEXPLANON + MEDICAL DEVICE COMPLICATION
XTANDI,INVESTIGATION,5,78.7,25.72,240.77,XTANDI + INVESTIGATION
PICATO,INCORRECT DRUG ADMINISTRATION DURATION,7,78.04,31.76,191.71,PICATO + INCORRECT DRUG ADMINISTRATION DURATION
FLUOXETINE,MYALGIA,6,77.87,29.05,208.71,FLUOXETINE + MYALGIA
ARA-C,DRUG INEFFECTIVE,4,77.76,8.67,697.04,ARA-C + DRUG INEFFECTIVE
NASONEX,SUICIDAL IDEATION,3,77.76,20.94,288.73,NASONEX + SUICIDAL IDEATION
AMITRIPTYLINE,THERAPEUTIC RESPONSE UNEXPECTED,4,77.72,24.63,245.28,AMITRIPTYLINE + THERAPEUTIC RESPONSE UNEXPECTED
DEPAKOTE,DRUG LEVEL INCREASED,3,77.69,15.53,388.64,DEPAKOTE + DRUG LEVEL INCREASED
SANDOSTATIN LAR DEPOT,GAIT DISTURBANCE,4,77.69,21.53,280.27,SANDOSTATIN LAR DEPOT + GAIT DISTURBANCE
KALETRA,FOETAL EXPOSURE DURING PREGNANCY,3,77.54,20.73,289.99,KALETRA + FOETAL EXPOSURE DURING PREGNANCY
ARANESP,INVESTIGATION,15,77.29,39.8,150.1,ARANESP + INVESTIGATION
PARAGARD 380A,PREGNANCY WITH CONTRACEPTIVE DEVICE,3,77.09,20.18,294.59,PARAGARD 380A + PREGNANCY WITH CONTRACEPTIVE DEVICE
PARAGARD 380A,MENORRHAGIA,3,77.09,20.18,294.59,PARAGARD 380A + MENORRHAGIA
PREDNISONE,MENINGITIS,3,77.08,15.41,385.53,PREDNISONE + MENINGITIS
PRISTIQ,INTENTIONAL DRUG MISUSE,3,76.57,20.75,282.52,PRISTIQ + INTENTIONAL DRUG MISUSE
ASPIRIN.,DRY SKIN,3,76.57,20.75,282.52,ASPIRIN. + DRY SKIN
AVONEX,INJECTION SITE HAEMORRHAGE,3,76.47,15.29,382.48,AVONEX + INJECTION SITE HAEMORRHAGE
LANSOPRAZOLE,MUSCULOSKELETAL STIFFNESS,3,76.19,20.74,279.82,LANSOPRAZOLE + MUSCULOSKELETAL STIFFNESS
YAZ,EMOTIONAL DISTRESS,9,75.93,33.78,170.65,YAZ + EMOTIONAL DISTRESS
COPEGUS,DRUG INTERACTION,9,75.88,30.27,190.17,COPEGUS + DRUG INTERACTION
FENTANYL,PULMONARY OEDEMA,4,75.38,24.15,235.27,FENTANYL + PULMONARY OEDEMA
ZOMIG,MIGRAINE,5,74.95,26.35,213.24,ZOMIG + MIGRAINE
ADCIRCA,LARYNGEAL PAIN,4,74.0,13.49,405.81,ADCIRCA + LARYNGEAL PAIN
PARACETAMOL,BONE MARROW FAILURE,3,73.41,17.26,312.35,PARACETAMOL + BONE MARROW FAILURE
XALATAN,CATARACT,3,73.21,20.13,266.24,XALATAN + CATARACT
BETAFERON,MULTIPLE SCLEROSIS RELAPSE,3,73.07,18.85,283.33,BETAFERON + MULTIPLE SCLEROSIS RELAPSE
PREDNISOLONE,MENTAL DISORDER,3,73.07,18.85,283.33,PREDNISOLONE + MENTAL DISORDER
PARAGARD 380A,MEDICAL DEVICE COMPLICATION,4,72.83,22.81,232.53,PARAGARD 380A + MEDICAL DEVICE COMPLICATION
VYVANSE,DRUG EFFECT DECREASED,5,72.56,24.76,212.66,VYVANSE + DRUG EFFECT DECREASED
FENTANYL,DRUG ABUSE,5,72.04,25.68,202.08,FENTANYL + DRUG ABUSE
EXEMESTANE,DISEASE PROGRESSION,4,71.88,21.15,244.28,EXEMESTANE + DISEASE PROGRESSION
DIANEAL LOW CALCIUM,PERITONITIS,8,71.82,24.67,209.11,DIANEAL LOW CALCIUM + PERITONITIS
DABIGATRAN,MELAENA,5,71.3,24.34,208.86,DABIGATRAN + MELAENA
DEPAKOTE ER,OFF LABEL USE,3,70.9,14.19,354.36,DEPAKOTE ER + OFF LABEL USE
ENBREL,INJECTION SITE ERYTHEMA,5,70.57,23.12,215.36,ENBREL + INJECTION SITE ERYTHEMA
AUBAGIO,PARAESTHESIA,8,70.41,28.98,171.06,AUBAGIO + PARAESTHESIA
DOXORUBICIN,FEBRILE NEUTROPENIA,3,69.13,19.1,250.2,DOXORUBICIN + FEBRILE NEUTROPENIA
XYZAL,WEIGHT INCREASED,3,68.89,13.79,344.23,XYZAL + WEIGHT INCREASED
ATARAX,WEIGHT INCREASED,3,68.89,13.79,344.23,ATARAX + WEIGHT INCREASED
NPLATE,INVESTIGATION,3,68.88,16.9,280.78,NPLATE + INVESTIGATION
WARFARIN,INTERNATIONAL NORMALISED RATIO INCREASED,5,68.73,22.06,214.15,WARFARIN + INTERNATIONAL NORMALISED RATIO INCREASED
CLOPIDOGREL,MYALGIA,4,68.14,21.03,220.84,CLOPIDOGREL + MYALGIA
ULTRAM,ABDOMINAL PAIN,3,67.92,13.59,339.37,ULTRAM + ABDOMINAL PAIN
VYVANSE,INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION,4,66.47,20.89,211.5,VYVANSE + INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION
NUVARING,INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION,4,66.47,20.89,211.5,NUVARING + INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION
SUBOXONE,WRONG TECHNIQUE IN DRUG USAGE PROCESS,6,65.98,25.38,171.54,SUBOXONE + WRONG TECHNIQUE IN DRUG USAGE PROCESS
DABIGATRAN,HAEMATOCHEZIA,5,65.81,22.73,190.56,DABIGATRAN + HAEMATOCHEZIA
LEVETIRACETAM,CONVULSION,4,65.8,19.78,218.93,LEVETIRACETAM + CONVULSION
VIMPAT,CONVULSION,4,65.8,19.78,218.93,VIMPAT + CONVULSION
OMEPRAZOLE,HYPOMAGNESAEMIA,4,65.61,16.26,264.82,OMEPRAZOLE + HYPOMAGNESAEMIA
ENDOXAN,ANAEMIA,3,65.43,10.88,393.51,ENDOXAN + ANAEMIA
CALCICHEW D3,DRUG INTERACTION,4,64.71,17.17,243.93,CALCICHEW D3 + DRUG INTERACTION
LITHIONIT,FATIGUE,3,64.69,6.72,623.2,LITHIONIT + FATIGUE
SOBRIL,FATIGUE,3,64.69,6.72,623.2,SOBRIL + FATIGUE
